# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       4.057549872076e-01       1.910696510433e+02      -4.130841703324e+01      -1.493419749708e+03       2.698937904830e+02      -2.073081409739e+02      -4.149158424084e+02       3.104438025262e+02      -4.416024550598e+02       2.510943744266e+02 
       4.202653262801e-01       1.893925506259e+02      -4.120375577793e+01      -1.519540282286e+03       2.645497330125e+02      -2.027371628017e+02      -4.031094222056e+02       3.021492547532e+02      -4.253027506088e+02       2.332995207560e+02 
       4.355141477481e-01       1.873404618680e+02      -4.108751481090e+01      -1.545574441806e+03       2.589735171429e+02      -1.980073088550e+02      -3.911562407153e+02       2.937041434786e+02      -4.091641678034e+02       2.165456927966e+02 
       4.515893656720e-01       1.848685375072e+02      -4.096210066476e+01      -1.571555951158e+03       2.531648542576e+02      -1.931190951659e+02      -3.790468149587e+02       2.851031480528e+02      -3.931985158403e+02       2.008415674512e+02 
       4.685988423733e-01       1.821322779677e+02      -4.081678502603e+01      -1.597529723527e+03       2.471190351146e+02      -1.880721613944e+02      -3.667656104509e+02       2.763357796234e+02      -3.772771178891e+02       1.859046768330e+02 
       4.866768433346e-01       1.792196120387e+02      -4.064401382866e+01      -1.623548536688e+03       2.408188092925e+02      -1.828522425486e+02      -3.542901914059e+02       2.673858415564e+02      -3.613175785918e+02       1.716125372753e+02 
       5.059933048035e-01       1.760527238897e+02      -4.044606013578e+01      -1.649680995637e+03       2.342428333464e+02      -1.774420687170e+02      -3.415895491322e+02       2.582313048063e+02      -3.453197087399e+02       1.579604987541e+02 
       5.267674994365e-01       1.724655095192e+02      -4.023009990915e+01      -1.676017463428e+03       2.273657206679e+02      -1.718223722919e+02      -3.286208980084e+02       2.488416906803e+02      -3.293155199756e+02       1.449808920654e+02 
       5.492888124926e-01       1.685148978722e+02      -3.998815699348e+01      -1.702674694462e+03       2.201524020120e+02      -1.659669623178e+02      -3.153246775515e+02       2.391726794892e+02      -3.131939283882e+02       1.325390201428e+02 
       5.739494639936e-01       1.642345045638e+02      -3.971119308687e+01      -1.729807180428e+03       2.125491131495e+02      -1.598346332215e+02      -3.016187004936e+02       2.291625406954e+02      -2.968294658592e+02       1.205468153602e+02 
       6.012982113735e-01       1.595549132892e+02      -3.939347270096e+01      -1.757624730556e+03       2.044749174722e+02      -1.533637484790e+02      -2.873887496421e+02       2.187253363903e+02      -2.801099260646e+02       1.089549216549e+02 
       6.321328486537e-01       1.543233234409e+02      -3.903050186903e+01      -1.786419681711e+03       1.958139448941e+02      -1.464675192004e+02      -2.724728238814e+02       2.077388442722e+02      -2.629037124870e+02       9.767576762667e+01 
       6.676688725648e-01       1.484128884885e+02      -3.860930741831e+01      -1.816612102597e+03       1.864036839164e+02      -1.390233981945e+02      -2.566329625845e+02       1.960223342031e+02      -2.449767554171e+02       8.661034958371e+01 
       7.098683236780e-01       1.416779570564e+02      -3.810507640045e+01      -1.848830346027e+03       1.759831952948e+02      -1.308356842928e+02      -2.395076468594e+02       1.832998388539e+02      -2.259571143948e+02       7.561834774376e+01 
       7.621318567037e-01       1.337344018651e+02      -3.748547462980e+01      -1.884051556766e+03       1.641357052562e+02      -1.215934658398e+02      -2.205272025514e+02       1.691353368544e+02      -2.053286863552e+02       6.453590380467e+01 
       8.308733932589e-01       1.240118151745e+02      -3.668649928743e+01      -1.923838049824e+03       1.501735895014e+02      -1.107863438446e+02      -1.987646913048e+02       1.528152994162e+02      -1.822456193319e+02       5.314178699830e+01 
       9.292446428284e-01       1.115680156193e+02      -3.558158411182e+01      -1.970580830157e+03       1.329529639880e+02      -9.757651603482e+01      -1.727638951854e+02       1.332096320984e+02      -1.554235681573e+02       4.120637282790e+01 
       1.084239603181e+00       9.503235525553e+01      -3.395845072948e+01      -2.026567520996e+03       1.111039957682e+02      -8.099671163487e+01      -1.410059573888e+02       1.091104118586e+02      -1.237861311036e+02       2.888653178199e+01 
